"CVV","CVV"
"Cancel","Cancel"
"Capacity Per","Capacity Per"
"Card number","Card number"
"Cart","Cart"
"Cartoon Pillows","Cartoon Pillows"
"Cash on delivery","Cash on delivery"
"Cat Golf Head Covers","Cat Golf Head Covers"
"Categories","Categories"
"Change my password","Change my password"
"Change the address","Change the address"
"Change","Change"
"Changed your mind?","Changed your mind?"
"Changing password in progress ...","Changing password in progress ..."
"Check out Budsies!","Check out Budsies!"
"Check out Petsies - they make a custom plush lookalike of your pet!","Check out Petsies - they make a custom plush lookalike of your pet!"
"Check the details and status of your orders in the online store. You can also cancel your order or request a return.","Check the details and status of your orders in the online store. You can also cancel your order or request a return."
"Checkout","Checkout"
"Choose your country","Choose your country"
"Choose your production time","Choose your production time"
"City *","City *"
"City","City"
"Claim Your","Claim Your"
"Clear all","Clear all"
"Clear cart","Clear cart"
"Clear filters","Clear filters"
"Clear wishlist","Clear wishlist"
"Clear","Clear"
"Click a selected color to deselect it","Click a selected color to deselect it"
"Clicking link will open new tab where you can customize your message.","Clicking link will open new tab where you can customize your message."
"Close","Close"
"Clothes","Clothes"
"Cms Page Sync","Cms Page Sync"
"Colour","Colour"
"Columns","Columns"
"Company name *","Company name *"
"Company name","Company name"
"Compare Products","Compare Products"
"Compare products","Compare products"
"Component couldn't be loaded due to lack of network connectivity.","Component couldn't be loaded due to lack of network connectivity."
"Configure","Configure"
"Confirm your order","Confirm your order"
"Confirmation of receival","Confirmation of receival"
"Congrats!","Congrats!"
"Contact Us","Contact Us"
"Contact us","Contact us"
"Contact","Contact"
"Contains everything to draw creatures and turn them into Budsies","Contains everything to draw creatures and turn them into Budsies"
"Continue to cart","Continue to cart"
"Continue to payment","Continue to payment"
"Continue to shipping","Continue to shipping"
"Continue","Continue"
"Copy address data from shipping","Copy address data from shipping"
"Corporate Buying","Corporate Buying"
"Could not send an email. Please try again later.","Could not send an email. Please try again later."
"Could you please check your payment info or","Could you please check your payment info or"
"Country *","Country *"
"Country","Country"
"Create Your Custom Forevers Plush","Create Your Custom Forevers Plush"
"Create Your Custom Golf Head Covers","Create Your Custom Golf Head Covers"
"Create a new account","Create a new account"
"Create an account","Create an account"
"Creativity Kit","Creativity Kit"
"Current Password","Current Password"
"Current password *","Current password *"
"Custom Blankets","Custom Blankets"
"Custom Bulk","Custom Bulk"
"Custom Cms Page","Custom Cms Page"
"Custom Face Masks","Custom Face Masks"
"Custom Forevers","Custom Forevers"
"Custom Golf Headcovers","Custom Golf Headcovers"
"Custom Keychains","Custom Keychains"
"Custom Lookalikes","Custom Lookalikes"
"Custom Magnets","Custom Magnets"
"Custom Ornaments","Custom Ornaments"
"Custom Pet Lookalikes","Custom Pet Lookalikes"
"Custom Photo Pillows","Custom Photo Pillows"
"Custom Pillows","Custom Pillows"
"Custom Products","Custom Products"
"Custom Socks","Custom Socks"
"Customer service (Magento CMS)","Customer service (Magento CMS)"
"Customer service","Customer service"
"Customize What Your Character Looks Like","Customize What Your Character Looks Like"
"Customize Your Petsies {product}","Customize Your Petsies {product}"
"Customize Your {product}","Customize Your {product}"
"Customize your {productType}","Customize your {productType}"
"Customize","Customize"
"DD","DD"
"DPD Courier","DPD Courier"
"Date and time","Date and time"
"Day","Day"
"Default Addresses","Default Addresses"
"Delete discount code","Delete discount code"
"Delivery","Delivery"
"Departments","Departments"
"Describe Your Pet's Physical Features","Describe Your Pet's Physical Features"
"Describe Your {product}","Describe Your {product}"
"Description","Description"
"Details","Details"
"Discount code","Discount code"
"Discount","Discount"
"Does your pet have a special story?","Does your pet have a special story?"
"Dog Golf Head Covers","Dog Golf Head Covers"
"Don't have a good character? Get inspired by our","Don't have a good character? Get inspired by our"
"Don't have an account yet?","Don't have an account yet?"
"Don't have your photos? You can finalize your order and","Don't have your photos? You can finalize your order and"
"Don't hesitate and","Don't hesitate and"
"Don't worry, we'll send you a reminder with this code after you complete your order.","Don't worry, we'll send you a reminder with this code after you complete your order."
"Done","Done"
"Dongler's Dinner Quest: Storybook + Drawing Book","Dongler's Dinner Quest: Storybook + Drawing Book"
"Dongler's story inspires imagination while the integrated drawing pages provide an outlet for your child's artistry","Dongler's story inspires imagination while the integrated drawing pages provide an outlet for your child's artistry"
"Download all","Download all"
"Download","Download"
"Drawing Templates","Drawing Templates"
"E-mail address *","E-mail address *"
"E-mail address","E-mail address"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience"
"E-mail","E-mail"
"Each additional Petsie in same order:","Each additional Petsie in same order:"
"Earn credits with every purchase","Earn credits with every purchase"
"Easy shipping","Easy shipping"
"Edit Address","Edit Address"
"Edit contact","Edit contact"
"Edit newsletter preferences","Edit newsletter preferences"
"Edit payment","Edit payment"
"Edit personal details","Edit personal details"
"Edit shipping","Edit shipping"
"Edit your profile","Edit your profile"
"Edit your shipping details","Edit your shipping details"
"Edit","Edit"
"Email address *","Email address *"
"Email address","Email address"
"Email has successfully been sent","Email has successfully been sent"
"Email","Email"
"Email:","Email:"
"Encourages children to express their creativity","Encourages children to express their creativity"
"English","English"
"Enjoy over 25 beautifully illustrated color pages, where your child’s drawings will help Dongler get home in time for dinner!","Enjoy over 25 beautifully illustrated color pages, where your child’s drawings will help Dongler get home in time for dinner!"
"Enjoy these perks with your free account!","Enjoy these perks with your free account!"
"Enter your email address","Enter your email address"
"Enter your email to receive instructions on how to reset your password.","Enter your email to receive instructions on how to reset your password."
"Enter your pet's birthday so we can send you a special gift","Enter your pet's birthday so we can send you a special gift"
"Erin recommends","Erin recommends"
"Error refreshing user token. User is not authorized to access the resource","Error refreshing user token. User is not authorized to access the resource"
"Error while sending reset password e-mail","Error while sending reset password e-mail"
"Error with response - bad content-type!","Error with response - bad content-type!"
"Error: Error while adding products","Error: Error while adding products"
"Everything new","Everything new"
"Expiration date","Expiration date"
"Explore the Magical Contents","Explore the Magical Contents"
"Extension developers would like to thank you for placing an order!","Extension developers would like to thank you for placing an order!"
"Eye Color","Eye Color"
"FAQ","FAQ"
"FAQ's","FAQ's"
"Face Masks","Face Masks"
"Faster checkout","Faster checkout"
"Features, colors, & even mood are all helpful","Features, colors, & even mood are all helpful"
"Feel free to edit any of your details below so your account is always up to date","Feel free to edit any of your details below so your account is always up to date"
"Field is required","Field is required"
"Field is required.","Field is required."
"Filter by categories","Filter by categories"
"Filter","Filter"
"Filters","Filters"
"Final Options","Final Options"
"Firesquirrel has a bushy long squirrel tail. I'd like it if her tail was made of some kind of longer fabric. She has three big toe's on each foot and four fingered cartoon hands. Primary fur is a rich golden yellow. Secondary fur is a light cream yellow.","Firesquirrel has a bushy long squirrel tail. I'd like it if her tail was made of some kind of longer fabric. She has three big toe's on each foot and four fingered cartoon hands. Primary fur is a rich golden yellow. Secondary fur is a light cream yellow."
"First Name","First Name"
"First custom Petsie: $13.95 domestic","First custom Petsie: $13.95 domestic"
"First name *","First name *"
"First name","First name"
"Forevers Cat","Forevers Cat"
"Forevers Dog","Forevers Dog"
"Forevers Other","Forevers Other"
"Forgot the password?","Forgot the password?"
"Forgotten password?","Forgotten password?"
"Form components","Form components"
"Full rewards program benefits","Full rewards program benefits"
"Fur Color","Fur Color"
"GIVE US A SHOUT!","GIVE US A SHOUT!"
"Gallery","Gallery"
"General agreement","General agreement"
"German","German"
"Germany","Germany"
"Get More Tickets","Get More Tickets"
"Get Started","Get Started"
"Get Ticket","Get Ticket"
"Get inspired","Get inspired"
"Get special birthday savings for your pet(s) (optional)", "Get special birthday savings for your pet(s) (optional)"
"Gift Add-ons","Gift Add-ons"
"Gift Box","Gift Box"
"Gift Boxes","Gift Boxes"
"Gift Cards","Gift Cards"
"Gift card code","Gift card code"
"Give a feedback","Give a feedback"
"Giving Back","Giving Back"
"Go review the order","Go review the order"
"Go to Facebook","Go to Facebook"
"Go to Instagram","Go to Instagram"
"Go to Pinterest","Go to Pinterest"
"Go to Youtube","Go to Youtube"
"Go to checkout","Go to checkout"
"Golf Club Headcovers","Golf Club Headcovers"
"Golf Shirts","Golf Shirts"
"Good luck!","Good luck!"
"Grand Total","Grand Total"
"Grand total","Grand total"
"Grandpa is a happy man with a big bushy white beard. He's wearing a red baseball cap, green short sleeved shirt, and jeans. He's wearing white sneakers.","Grandpa is a happy man with a big bushy white beard. He's wearing a red baseball cap, green short sleeved shirt, and jeans. He's wearing white sneakers."
"Have Questions?","Have Questions?"
"Hawaiian Shirts","Hawaiian Shirts"
"Help","Help"
"Hey! Check out these Specialty Commissions from Budsies. You send them a photo of your drawing, ref sheet or artwork, and they make it into a custom stuffed animal. Here is a VIP link:","Hey! Check out these Specialty Commissions from Budsies. You send them a photo of your drawing, ref sheet or artwork, and they make it into a custom stuffed animal. Here is a VIP link:"
"Hide products","Hide products"
"High quality 24 count crayons for making the most magical doodles","High quality 24 count crayons for making the most magical doodles"
"Home Page","Home Page"
"Home","Home"
"Homepage","Homepage"
"House/Apartment number *","House/Apartment number *"
"House/Apartment number","House/Apartment number"
"Household","Household"
"How It Works","How It Works"
"How it Works","How it Works"
"How many {productType} of this exact same design?","How many {productType} of this exact same design?"
"Hurry - save your spot in line!","Hurry - save your spot in line!"
"I accept terms and conditions","I accept terms and conditions"
"I accept","I accept"
"I agree to","I agree to"
"I don't have a good drawing","I don't have a good drawing"
"I don't have kids","I don't have kids"
"I don't know which picture to use","I don't know which picture to use"
"I have a company and want to receive an invoice for every order","I have a company and want to receive an invoice for every order"
"I need help with ordering","I need help with ordering"
"I need help","I need help"
"I understand that Budsies happily takes care of all tears, defects, and shipping damage with either a refund or a repair.","I understand that Budsies happily takes care of all tears, defects, and shipping damage with either a refund or a repair."
"I want to create an account","I want to create an account"
"I want to create an account'","I want to create an account'"
"I want to generate an invoice for the company","I want to generate an invoice for the company"
"I want to receive a newsletter, and agree to its terms","I want to receive a newsletter, and agree to its terms"
"I'll get it as a gift later","I'll get it as a gift later"
"If you need an assistance you can drop us a line on","If you need an assistance you can drop us a line on"
"If you want to change the password to access your account, enter the following information:","If you want to change the password to access your account, enter the following information:"
"If your pet has different color eyes,","If your pet has different color eyes,"
"If your ticket is chosen, you'll be notified via email and have 5 days to order your Specialty Commission","If your ticket is chosen, you'll be notified via email and have 5 days to order your Specialty Commission"
"In stock!","In stock!"
"Include this design's magic word in the subject line of the email:","Include this design's magic word in the subject line of the email:"
"Include this magic word in the subject line of the email","Include this magic word in the subject line of the email"
"Includes shipping & handling to US address","Includes shipping & handling to US address"
"Industry Awards","Industry Awards"
"Inspiration Machine","Inspiration Machine"
"Instant Checkout","Instant Checkout"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Internal Application error while refreshing the tokens. Please clear the storage and refresh page."
"Internal Server Error 500","Internal Server Error 500"
"International orders ship via USPS First Class Mail for just $24.95 worldwide, with $5.95 per each additional Petsie in the order.","International orders ship via USPS First Class Mail for just $24.95 worldwide, with $5.95 per each additional Petsie in the order."
"It carefully packaged with a personal touch","It carefully packaged with a personal touch"
"It's ordered!","It's ordered!"
"It's too expensive ","It's too expensive "
"Italian","Italian"
"Italy","Italy"
"Item","Item"
"Items ordered","Items ordered"
"I’M SORRY!!","I’M SORRY!!"
"Join Dongler on his journey home from a long day at the Charming Chowmungle Chocolate factory","Join Dongler on his journey home from a long day at the Charming Chowmungle Chocolate factory"
"Join","Join"
"Just browsing... love your work!","Just browsing... love your work!"
"Keep your addresses and contact details updated.","Keep your addresses and contact details updated."
"Keychains","Keychains"
"Kidswear","Kidswear"
"Last Name","Last Name"
"Last name *","Last name *"
"Last name","Last name"
"Latest","Latest"
"Leave me review","Leave me review"
"Legal notice","Legal notice"
"Let your friends know about Petsies so they can make their own amazing custom plushies.","Let your friends know about Petsies so they can make their own amazing custom plushies."
"Load more","Load more"
"Log in to your account","Log in to your account"
"Log in","Log in"
"Log out","Log out"
"Login to your account","Login to your account"
"Login","Login"
"Logout","Logout"
"Looks like you haven’t added any items to the bag yet. Start shopping to fill it in.","Looks like you haven’t added any items to the bag yet. Start shopping to fill it in."
"Love Petsies? Share the love with friends and get VIP perks!","Love Petsies? Share the love with friends and get VIP perks!"
"Loyalty Card","Loyalty Card"
"MM","MM"
"Magazine","Magazine"
"Magnets","Magnets"
"Make your Petsies {product} even more special with these common add-ons","Make your Petsies {product} even more special with these common add-ons"
"Make your Specialty Commission even more special with these common add-ons","Make your Specialty Commission even more special with these common add-ons"
"Make your {product} even more special with these common add-ons","Make your {product} even more special with these common add-ons"
"Manage all the shipping addresses you want (work place, home address ...) This way you won\'t have to enter the shipping address manually with each order.","Manage all the shipping addresses you want (work place, home address ...) This way you won\'t have to enter the shipping address manually with each order."
"Manage your wishlist","Manage your wishlist"
"Media","Media"
"Men's fashion","Men's fashion"
"Menu","Menu"
"Month","Month"
"More registrants from your unique link = more tickets + better odds for you!","More registrants from your unique link = more tickets + better odds for you!"
"Most customers just upload one photo","Most customers just upload one photo"
"Must be greater than 0","Must be greater than 0"
"My Account","My Account"
"My Cart","My Cart"
"My Recently viewed products","My Recently viewed products"
"My account","My account"
"My loyalty card","My loyalty card"
"My newsletter","My newsletter"
"My orders","My orders"
"My product reviews","My product reviews"
"My profile","My profile"
"My reviews","My reviews"
"My shipping details","My shipping details"
"NOTE: Proceed to Step 2 to complete your order. You may send us your photo within the next 5 days.","NOTE: Proceed to Step 2 to complete your order. You may send us your photo within the next 5 days."
"Name must have at least 2 letters.","Name must have at least 2 letters."
"Name must have at least 3 letters.","Name must have at least 3 letters."
"Name","Name"
"Network error. Please try again later","Network error. Please try again later"
"New Luma Yoga Collection","New Luma Yoga Collection"
"New Password","New Password"
"New password *","New password *"
"Newsletter","Newsletter"
"Next Drawing: {date}","Next Drawing: {date}"
"Next","Next"
"No Extra Pets","No Extra Pets"
"No available product variants","No available product variants"
"No orders yet","No orders yet"
"No products found!","No products found!"
"No products synchronized for this category. Please come back while online!","No products synchronized for this category. Please come back while online!"
"No products yet","No products yet"
"No results were found.","No results were found."
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!"
"Not sure what's causing error? We're here to help take your order","Not sure what's causing error? We're here to help take your order"
"Notify Customer Support","Notify Customer Support"
"Now you can get a custom plush lookalike of your pet from @PetsiesOfficial. Check it out! https://t.co/YxtXW7CYJQ","Now you can get a custom plush lookalike of your pet from @PetsiesOfficial. Check it out! https://t.co/YxtXW7CYJQ"
"OC Commissions","OC Commissions"
"OK","OK"
"Official Budsies Mascot","Official Budsies Mascot"
"Oinker is a pig that's purple with green spots. Has a ball-shaped nose, really big toes, one green eye and one red eye, and a green curly tail.","Oinker is a pig that's purple with green spots. Has a ball-shaped nose, really big toes, one green eye and one red eye, and a green curly tail."
"One image is typically sufficient, but you may upload up to three images of your design","One image is typically sufficient, but you may upload up to three images of your design"
"Open Cart","Open Cart"
"Open menu","Open menu"
"Open microcart","Open microcart"
"Open my account","Open my account"
"Open search panel","Open search panel"
"Open wishlist","Open wishlist"
"Optional","Optional"
"Optional. Leave blank if unsure","Optional. Leave blank if unsure"
"Or if you will stay on 'Order confirmation' page, the order will be placed automatically without confirmation, once the internet connection will be back.","Or if you will stay on 'Order confirmation' page, the order will be placed automatically without confirmation, once the internet connection will be back."
"Order #","Order #"
"Order #{id}","Order #{id}"
"Order Complete","Order Complete"
"Order ID","Order ID"
"Order No.","Order No."
"Order Summary","Order Summary"
"Order confirmation","Order confirmation"
"Order date","Order date"
"Order details","Order details"
"Order history","Order history"
"Order informations","Order informations"
"Order review","Order review"
"Orders","Orders"
"Ornaments","Ornaments"
"Other Golf Head Covers","Other Golf Head Covers"
"Other Products","Other Products"
"Other Useful Links","Other Useful Links"
"Other components","Other components"
"Other custom gifts you might like","Other custom gifts you might like"
"Others","Others"
"Our huggable 6” Dongler keeps you company while you doodle","Our huggable 6” Dongler keeps you company while you doodle"
"Our service is not responsible for local tariffs or duties on international shipments","Our service is not responsible for local tariffs or duties on international shipments"
"Out of stock!","Out of stock!"
"Out of the stock!","Out of the stock!"
"Overcome 3 challenges along the way by drawing friendly creatures that help Dongler get home to his lovely wife","Overcome 3 challenges along the way by drawing friendly creatures that help Dongler get home to his lovely wife"
"Pajamas","Pajamas"
"Password *","Password *"
"Password change","Password change"
"Password has successfully been changed","Password has successfully been changed"
"Password must contain at least 3 different character classes: lower case, upper case, digits, special characters.","Password must contain at least 3 different character classes: lower case, upper case, digits, special characters."
"Password must have at least 6 symbols.","Password must have at least 6 symbols."
"Password must have at least 8 letters.","Password must have at least 8 letters."
"Password","Password"
"Passwords must be identical","Passwords must be identical"
"Passwords must be identical.","Passwords must be identical."
"Payment method","Payment method"
"Payment","Payment"
"Personal Details","Personal Details"
"Personal data","Personal data"
"Pet Info","Pet Info"
"Pet Keychains","Pet Keychains"
"Pet Magnets","Pet Magnets"
"Pet Name","Pet Name"
"Pet Ornaments","Pet Ornaments"
"Pet Photo Blankets","Pet Photo Blankets"
"Pet Shaped Pillows","Pet Shaped Pillows"
"Pet Socks","Pet Socks"
"Pet's name","Pet's name"
"Petsies Stuffed Animals","Petsies Stuffed Animals"
"Petsies are not replicas of your pet. They are handcrafted plush works of art. For better or worse, Petsies will not smell, shed, or bite like your pet","Petsies are not replicas of your pet. They are handcrafted plush works of art. For better or worse, Petsies will not smell, shed, or bite like your pet"
"Petsies {product} Order Form","Petsies {product} Order Form"
"Petsies","Petsies"
"Phone Number","Phone Number"
"Phone number may be needed by carrier","Phone number may be needed by carrier"
"Phone number","Phone number"
"Photo Pillows","Photo Pillows"
"Photo Tips","Photo Tips"
"Photo","Photo"
"Pillows","Pillows"
"Place the order","Place the order"
"Please apply gift certificates during checkout (next step)","Please apply gift certificates during checkout (next step)"
"Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!","Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!"
"Please check if all data are correct","Please check if all data are correct"
"Please configure product bundle options and fix the validation errors","Please configure product bundle options and fix the validation errors"
"Please configure product custom options and fix the validation errors","Please configure product custom options and fix the validation errors"
"Please confirm order you placed when you was offline","Please confirm order you placed when you was offline"
"Please describe the key features and colors of your character","Please describe the key features and colors of your character"
"Please feel free to email","Please feel free to email"
"Please fix the validation errors","Please fix the validation errors"
"Please include a photo of the full body","Please include a photo of the full body"
"Please note any special requests in the description above","Please note any special requests in the description above"
"Please order each person in the photo as a separate {product}","Please order each person in the photo as a separate {product}"
"Please order each unique design as a separate Budsies plush","Please order each unique design as a separate Budsies plush"
"Please order each unique design as a separate {product}","Please order each unique design as a separate {product}"
"Please provide a description of the photo to help us most accurately create the {product}. Features, colors, clothing, accessories, and even mood are all helpful","Please provide a description of the photo to help us most accurately create the {product}. Features, colors, clothing, accessories, and even mood are all helpful"
"Please provide as much direction as possible to help us understand the artwork.","Please provide as much direction as possible to help us understand the artwork."
"Please provide valid city name","Please provide valid city name"
"Please provide valid e-mail address.","Please provide valid e-mail address."
"Please provide valid phone number","Please provide valid phone number."
"Please provide within 3 days","Please provide within 3 days"
"Please upload a full body photo, side view and back view, so our designers can accurately design your 3D {product}","Please upload a full body photo, side view and back view, so our designers can accurately design your 3D {product}"
"Please upload your illustration","Please upload your illustration"
"Please wait ...","Please wait ..."
"Please, check credentials","Please, check credentials"
"Please, enter valid phone number","Please, enter valid phone number"
"Please, fill required fields","Please, fill required fields"
"Price Savings","Price Savings"
"Price {variant}","Price {variant}"
"Price","Price"
"Price: High to low","Price: High to low"
"Price: Low to high","Price: Low to high"
"Pricing","Pricing"
"Privacy Policy","Privacy Policy"
"Privacy policy","Privacy policy"
"Proceed to checkout","Proceed to checkout"
"Processing order...","Processing order..."
"Product Details","Product Details"
"Product Name","Product Name"
"Product details","Product details"
"Product has been added to the cart!","Product has been added to the cart!"
"Product price is unknown, product cannot be added to the cart!","Product price is unknown, product cannot be added to the cart!"
"Product quantity has been updated!","Product quantity has been updated!"
"Product suggestions","Product suggestions"
"Product was added to the cart","Product was added to the cart"
"Product {productName} has been added to wishlist!","Product {productName} has been added to wishlist!"
"Product {productName} has been removed from wishlist!","Product {productName} has been removed from wishlist!"
"Products found","Products found"
"Products","Products"
"Profile","Profile"
"Provide Photos Later","Provide Photos Later"
"Provide a clear photo of the face","Provide a clear photo of the face"
"Provided email does not exist","Provided email does not exist"
"Puppets","Puppets"
"Purchase","Purchase"
"Qty","Qty"
"Quantity & Shipping Discounts","Quantity & Shipping Discounts"
"Quantity","Quantity"
"Quick Links","Quick Links"
"Read all {count} review","Read all {count} review"
"Read all {review} review","Read all {review} review"
"Read less","Read less"
"Read more","Read more"
"Read our","Read our"
"Read reviews","Read reviews"
"Receive a Free Drawing & Storybook","Receive a Free Drawing & Storybook"
"Recommended for ages 4+","Recommended for ages 4+"
"Refer Friends to","Refer Friends to"
"Referral Program","Referral Program"
"Referral Rewards","Referral Rewards"
"Refund & Return Policy","Refund & Return Policy"
"Refund Policy","Refund Policy"
"Register an account","Register an account"
"Register now","Register now"
"Register","Register"
"Registering the account ...","Registering the account ..."
"Remake order","Remake order"
"Remember me","Remember me"
"Remind date","Remind date"
"Remove from compare","Remove from compare"
"Remove","Remove"
"Renaissance Blankets","Renaissance Blankets"
"Repeat Password","Repeat Password"
"Repeat new password *","Repeat new password *"
"Repeat password *","Repeat password *"
"Repeat password","Repeat password"
"Resellers","Resellers"
"Reset password feature does not work while offline!","Reset password feature does not work while offline!"
"Reset password","Reset password"
"Resetting the password ... ","Resetting the password ... "
"Rest assured, we offer free returns within 30 days","Rest assured, we offer free returns within 30 days"
"Return policy","Return policy"
"Return to home","Return to home"
"Return to shopping","Return to shopping"
"Returns","Returns"
"Review order","Review order"
"Review","Review"
"Reviews","Reviews"
"Rewards dollars may be applied onto existing orders within 7 days of checkout.","Rewards dollars may be applied onto existing orders within 7 days of checkout."
"Rising Stars","Rising Stars"
"Rising Starts","Rising Starts"
"SKU","SKU"
"SKU: {sku}","SKU: {sku}"
"Safety","Safety"
"Sale","Sale"
"Save & Make Another","Save & Make Another"
"Save for later","Save for later"
"Search","Search"
"Searched term should consist of at least 3 characters.","Searched term should consist of at least 3 characters."
"See Preview","See Preview"
"See details","See details"
"See our bestsellers","See our bestsellers"
"See past winning numbers","See past winning numbers"
"Select Design Variant","Select Design Variant"
"Select No","Select No"
"Select Yes","Select Yes"
"Select Your Box","Select Your Box"
"Select Your Type of Pet","Select Your Type of Pet"
"Select color ","Select color "
"Select design","Select design"
"Select set","Select set"
"Select size and material","Select size and material"
"Select size {variant}","Select size {variant}"
"Select size","Select size"
"Select style","Select style"
"Select your character's primary colors.","Select your character's primary colors."
"Select","Select"
"Selected variant is out of stock","Selected variant is out of stock"
"Selfies","Selfies"
"Send my feedback","Send my feedback"
"Send photos later","Send photos later"
"Services","Services"
"Set as default Billing address","Set as default Billing address"
"Set as default Shipping address","Set as default Shipping address"
"Share Your Look","Share Your Look"
"Share with Petsies","Share with Petsies"
"Share your child's drawings and see what other children from around the world have created","Share your child's drawings and see what other children from around the world have created"
"Share your link with your friends to earn more raffle tickets","Share your link with your friends to earn more raffle tickets"
"Ship to my default address","Ship to my default address"
"Shipping Discounts","Shipping Discounts"
"Shipping address","Shipping address"
"Shipping details","Shipping details"
"Shipping method","Shipping method"
"Shipping","Shipping"
"Shirts","Shirts"
"Shopping Cart","Shopping Cart"
"Shopping cart is empty. Please add some products before entering Checkout","Shopping cart is empty. Please add some products before entering Checkout"
"Shopping cart","Shopping cart"
"Shopping summary","Shopping summary"
"Show products","Show products"
